CASE;STARTED;AZ01_01;AZ01_02;AZ01_03;AZ01_04;AZ01_05;AZ01_06;AZ01_07;AZ01_08;AZ01_09;AZ01_10;AZ01_11;AZ01_12;AZ01_13;AZ01_14;AZ01_15;AZ02_01;AZ03_01;AZ04_01;AZ05_01;AZ05_02;AZ05_03;AZ05_04;AZ05_05;AZ05_06;AZ06_01;AZ06_02;AZ07_01;KQ01_01;KQ01_02;KQ01_03;KQ01_04;KQ01_05;KQ01_06;KQ01_07;KQ01_08;FQ01_01;FQ01_02;FQ01_03;FQ01_04;FQ01_05;FQ01_06;FQ01_07;FQ01_08;FQ01_09;FQ01_10;FQ01_11;FQ01_12;FQ01_13;FQ01_14;FQ01_15;FQ01_16;BK01_01;BK02_01;BK03_01;BK03_02;BK03_03;BK03_04;WL01_01;WL01_02;WL01_03;WL01_04;WL01_05;GE02_01;GE03_01;GE03_02;GE03_03;SD01;SD03_01;SD03_02;SD04;SD05_01
82;27.07.2018 13:33;1;5;1;3;1;1;5;5;1;5;4;5;2;2;2;1;5;5;1;1;1;1;1;1;3;2;2;4;4;3;3;4;5;3;4;4;5;4;4;4;3;5;5;3;5;4;4;3;2;3;3;4;2;3;2;2;2;2;3;3;6;5;5;1;1;3;2;0;13;6;52
83;27.07.2018 14:21;3;1;2;5;4;5;3;3;4;5;3;4;1;5;5;3;3;5;3;3;1;3;1;1;2;3;3;1;1;2;2;1;3;3;2;1;1;2;2;4;4;3;4;1;3;3;1;2;2;5;5;3;4;5;4;5;4;3;1;6;4;4;5;3;2;2;2;4;4;21;34
85;27.07.2018 14:37;2;2;3;3;4;4;1;3;3;3;NA;4;3;4;3;3;3;3;4;4;3;3;3;2;3;3;3;3;2;3;3;2;3;2;4;2;2;3;3;3;3;4;3;4;3;3;3;3;2;3;3;4;4;4;3;3;4;3;2;4;3;3;5;1;1;2;1;7;3;5;35
88;27.07.2018 14:42;2;2;4;4;4;3;3;3;4;4;2;3;2;3;3;4;4;4;2;2;3;2;2;2;3;3;4;2;1;2;2;2;2;3;4;2;1;2;3;4;2;3;2;3;2;2;2;2;2;2;3;4;4;3;2;4;2;2;3;3;3;3;3;2;3;3;1;6;7;5;37
89;27.07.2018 14:50;2;5;4;5;4;2;1;1;2;2;4;5;4;2;2;4;2;5;3;3;4;2;3;2;4;4;4;4;3;4;3;3;4;4;5;3;3;2;3;4;2;4;4;2;3;4;4;4;4;4;4;2;5;3;3;4;4;6;1;6;2;6;4;2;3;3;1;8;7;3;34
92;27.07.2018 15:24;4;2;2;4;3;3;3;2;4;4;3;5;3;5;3;4;2;4;2;2;3;4;1;2;1;4;5;2;2;4;2;3;3;3;3;1;1;3;3;3;3;3;4;1;4;2;3;3;3;4;5;4;4;3;3;4;3;3;3;3;2;2;4;2;2;2;2;;7;9;39
96;27.07.2018 15:43;5;4;1;2;4;1;2;2;2;1;1;5;4;4;1;4;5;1;4;4;4;2;2;5;2;4;4;5;4;5;4;2;4;5;5;5;4;5;5;5;4;5;5;2;4;4;5;5;5;5;5;4;2;4;2;4;1;5;2;5;5;5;2;4;4;2;1;;7;5;36
98;27.07.2018 16:27;4;1;2;5;5;3;2;2;2;3;3;5;4;4;2;4;2;4;4;4;4;4;3;4;4;4;3;5;4;3;3;3;4;4;4;3;3;3;4;4;4;4;5;4;4;4;4;4;4;4;4;4;4;2;2;4;2;4;2;5;5;5;1;5;5;5;1;2;0;9;27
99;27.07.2018 16:32;3;3;3;2;1;2;4;3;4;5;4;3;3;5;2;3;3;3;2;2;3;3;1;2;1;2;3;3;2;4;3;2;3;3;4;1;2;3;3;3;2;4;4;2;2;3;3;1;1;2;3;2;2;5;3;2;4;4;2;5;5;4;5;1;1;2;2;2;31;8;53
102;27.07.2018 16:58;4;1;1;4;3;4;1;2;2;2;4;4;4;4;3;4;2;5;3;4;4;4;4;5;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;3;3;3;4;3;5;5;5;4;6;3;4;4;4;2;;28;21;55
115;27.07.2018 18:34;4;2;4;3;3;NA;2;2;2;2;1;4;2;4;2;4;3;4;3;3;4;3;3;3;2;2;2;5;4;4;4;4;3;4;3;4;4;4;4;4;3;4;4;4;4;4;3;3;3;3;2;3;3;3;3;4;2;4;3;4;4;4;3;2;2;3;2;;35;19;64
117;27.07.2018 19:05;4;1;2;5;3;2;3;1;2;2;2;3;2;3;2;3;3;3;3;3;3;3;3;3;1;3;3;4;4;3;3;4;4;4;4;3;3;4;4;4;3;2;2;3;3;2;3;4;3;3;3;4;3;3;3;4;3;4;2;3;4;3;4;2;2;2;2;;5;8;57
120;27.07.2018 19:21;1;1;2;2;3;1;1;4;4;3;5;1;1;3;5;1;5;1;1;1;2;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;5;5;1;5;3;3;3;2;3;3;5;3;3;1;;7;14;52
124;27.07.2018 19:29;4;1;1;4;4;3;2;1;2;1;1;5;4;4;2;4;3;4;4;4;4;4;4;4;4;4;4;4;4;5;5;4;5;5;5;5;5;4;4;5;4;4;5;5;4;5;5;4;4;5;5;4;4;3;2;4;1;5;2;4;5;5;2;4;4;4;1;;21;5;50
126;27.07.2018 19:31;3;2;1;3;2;2;2;3;2;3;3;2;2;1;2;3;3;3;3;1;2;2;2;2;1;1;2;3;2;3;3;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;3;2;2;3;1;3;2;2;2;2;2;1;3;2;2;3;3;3;2;2;;6;9;58
127;27.07.2018 19:39;5;1;1;5;5;4;1;1;4;3;1;5;5;5;1;5;3;5;5;5;4;5;4;4;5;5;5;5;4;5;5;5;5;5;3;5;4;4;4;4;4;5;5;3;3;4;5;4;4;4;4;5;5;1;1;5;1;1;1;4;3;1;3;3;2;2;2;;10;15;53
128;27.07.2018 19:46;1;5;5;2;2;1;5;5;5;5;5;3;3;3;3;2;5;1;1;1;3;1;1;1;1;1;1;4;4;4;4;3;4;4;4;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1;1;5;5;1;5;1;2;2;2;1;5;1;1;1;1;8;6;16;56
136;27.07.2018 20:21;4;2;3;3;4;4;2;2;3;3;5;4;4;4;2;4;5;3;3;3;3;3;4;4;3;4;4;4;4;4;3;4;4;3;5;4;4;4;4;5;4;5;5;4;5;4;4;5;3;5;3;5;4;5;3;3;3;5;6;4;5;4;5;2;2;3;2;;28;5;67
138;27.07.2018 20:36;3;4;1;4;3;1;2;4;5;5;5;5;1;1;2;4;4;4;3;3;3;5;2;2;2;3;4;2;2;2;5;2;3;1;2;3;1;2;1;1;2;4;5;1;1;3;3;1;1;4;4;1;2;3;2;3;3;3;3;3;2;2;4;1;2;2;1;;20;20;38
143;27.07.2018 20:57;4;3;1;4;5;4;3;4;5;5;3;5;5;5;1;5;1;3;5;3;1;5;3;2;4;5;5;3;2;2;2;1;1;1;5;3;2;4;3;4;4;5;5;5;4;4;5;2;1;3;2;5;5;4;2;4;2;1;6;4;2;2;2;1;2;1;1;7;2;20;29
146;27.07.2018 21:17;3;1;1;4;5;5;2;2;2;3;2;4;2;5;5;4;3;5;4;4;2;3;3;4;3;3;4;5;5;5;4;4;4;5;3;3;4;4;4;5;4;5;5;4;4;5;5;3;3;4;5;5;3;3;4;5;4;5;3;5;4;5;2;3;4;4;2;;7;21;29
148;27.07.2018 21:18;5;3;3;5;5;5;3;5;4;5;4;4;4;5;4;4;4;5;4;4;5;5;4;5;4;4;4;4;5;5;4;4;4;3;4;3;4;4;4;4;5;5;5;5;5;4;4;4;4;5;3;NA;4;4;4;5;4;6;4;5;5;5;4;4;4;4;1;4;35;21;65
151;27.07.2018 21:21;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;5;5;5;5;5;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;;10;8;60
152;27.07.2018 21:21;4;1;1;4;1;2;2;1;1;1;1;1;1;1;4;3;3;5;3;1;3;1;3;4;1;1;1;4;4;5;3;2;4;5;4;1;4;2;3;4;3;3;3;3;3;3;3;3;4;4;5;4;4;5;4;3;3;4;1;3;4;5;4;1;3;4;2;1;1;21;32
167;27.07.2018 22:38;3;3;2;3;3;4;4;4;3;4;1;2;2;3;3;3;4;4;2;2;2;2;1;1;1;3;3;3;4;4;2;4;3;4;1;2;1;1;2;3;2;4;3;2;2;2;1;1;1;2;1;3;3;4;5;4;4;4;2;5;5;5;4;3;2;2;2;;33;8;55
170;27.07.2018 23:07;4;2;2;4;3;4;3;2;4;2;2;2;2;2;3;4;2;3;4;4;4;3;4;3;3;3;4;5;4;4;4;4;4;4;3;3;4;4;4;4;3;4;3;3;3;3;4;4;3;3;3;4;4;3;3;3;3;5;1;5;5;5;2;4;4;4;2;7;1;21;45
174;27.07.2018 23:43;1;5;1;1;1;1;1;5;5;5;5;5;2;3;1;2;5;4;1;1;2;1;1;1;4;1;4;3;1;3;2;1;2;1;3;2;2;4;3;2;3;2;5;1;4;1;2;3;1;2;1;2;3;5;5;1;5;2;3;2;3;2;5;2;1;1;1;6;15;8;47
176;28.07.2018 01:49;3;4;1;3;4;3;3;4;4;4;4;4;3;4;2;3;NA;NA;NA;NA;NA;NA;NA;NA;2;4;3;2;2;3;2;3;2;2;2;2;2;3;2;3;2;3;4;2;2;3;3;1;3;4;3;1;2;4;4;2;5;2;5;2;2;2;5;2;1;2;2;;6;19;33
180;28.07.2018 10:15;4;2;3;3;4;4;2;3;4;2;3;2;2;2;4;3;4;3;3;2;3;3;4;4;3;2;3;4;3;4;3;4;4;3;4;3;3;3;3;3;3;4;4;3;2;4;3;4;4;4;3;4;4;4;2;4;3;2;5;2;2;2;3;4;4;4;1;;8;5;46
183;28.07.2018 10:53;4;3;4;4;2;4;2;3;2;3;2;2;1;2;3;3;3;3;2;1;3;3;2;1;1;1;2;3;2;1;2;3;1;2;4;2;1;2;3;2;2;2;1;1;1;2;3;2;1;1;3;2;3;4;5;3;4;4;2;5;5;6;3;3;4;4;2;3;15;5;39
188;28.07.2018 11:04;3;2;3;2;1;4;3;4;4;3;4;3;1;1;4;2;4;4;2;3;3;2;1;2;3;1;2;2;2;2;2;3;3;3;2;2;3;2;2;2;3;4;2;2;2;2;3;2;2;3;2;3;3;4;3;3;3;3;3;3;3;3;1;3;4;5;NA;7;1;5;25
202;28.07.2018 13:36;3;4;3;4;4;3;2;3;3;3;4;5;3;3;2;3;4;2;1;1;1;3;2;2;2;3;4;2;1;3;2;2;4;4;4;1;2;3;4;4;4;5;5;1;1;1;1;2;3;4;4;1;2;5;4;1;5;4;1;3;2;3;2;4;4;4;1;;28;14;46
207;28.07.2018 15:03;4;1;1;5;3;2;3;1;2;2;1;4;5;5;1;NA;2;5;1;3;5;3;1;1;1;5;5;5;3;3;3;1;3;2;3;5;3;2;4;3;4;4;4;2;2;2;2;1;1;3;4;4;4;2;3;4;1;6;2;4;4;4;5;4;2;4;2;;11;21;45
213;28.07.2018 17:07;1;1;3;1;2;1;3;5;5;5;4;3;2;4;4;3;5;4;2;1;3;2;2;1;2;2;3;3;2;2;3;4;4;2;1;2;2;2;2;3;2;4;2;2;2;3;4;1;2;2;2;2;2;4;4;2;5;3;4;5;4;3;3;2;3;3;2;7;11;14;41
216;28.07.2018 21:15;3;4;3;3;2;4;3;1;1;4;1;3;2;2;4;3;5;1;3;3;4;4;2;2;1;2;4;3;2;3;2;3;3;4;4;2;2;3;4;4;3;4;4;3;3;2;3;3;2;3;2;2;2;5;3;3;2;5;1;6;6;6;1;4;4;4;2;;25;8;45
219;28.07.2018 22:43;3;4;4;2;2;2;2;1;3;2;5;3;2;4;2;3;5;1;3;2;4;5;3;4;5;2;3;3;2;4;3;4;5;4;5;4;3;5;4;4;4;4;4;3;3;4;5;3;4;4;5;3;3;2;4;2;2;5;2;5;5;5;2;4;4;4;1;1;3;5;30
221;28.07.2018 22:50;4;3;2;4;2;2;3;2;2;4;3;4;2;4;4;4;5;2;2;2;1;2;2;3;2;3;3;3;3;4;3;4;4;3;4;4;3;2;3;4;3;2;4;3;3;5;3;3;4;3;5;4;4;2;3;3;4;6;3;5;5;5;5;2;2;2;1;2;11;7;36
240;29.07.2018 10:36;5;3;4;5;5;1;4;1;5;1;2;5;5;4;1;4;4;4;1;1;5;1;3;4;1;4;4;2;1;4;5;5;5;5;5;3;1;4;4;5;4;3;3;3;4;4;4;4;4;4;3;4;3;3;2;5;3;1;3;4;2;3;5;3;1;1;2;;7;21;45
241;29.07.2018 10:39;5;1;1;5;4;4;1;1;1;2;1;5;5;5;1;5;2;5;5;5;5;5;5;5;3;4;5;4;5;5;3;2;4;4;5;2;3;5;4;4;5;5;5;4;5;4;5;4;5;5;4;5;4;2;1;5;1;5;1;6;6;6;1;5;5;5;1;5;10;5;37
243;29.07.2018 11:37;2;5;2;2;5;3;1;1;3;2;2;4;2;3;3;4;5;3;2;2;4;4;1;NA;4;5;4;2;2;4;2;2;5;3;5;3;1;2;4;4;3;1;5;2;3;2;4;3;2;3;4;3;3;5;4;2;3;2;2;3;4;1;1;5;5;5;1;2;1;8;38
252;29.07.2018 14:08;1;1;1;3;5;4;5;4;5;3;5;2;NA;2;1;1;5;1;1;5;5;2;5;1;1;1;5;2;2;2;4;4;4;2;5;4;5;2;2;1;1;1;1;4;1;1;2;5;3;3;2;5;5;5;2;5;4;2;4;3;3;2;2;4;4;5;2;;22;9;38
255;29.07.2018 15:49;5;1;1;4;5;1;1;2;2;2;3;4;4;4;2;4;4;4;4;4;4;4;NA;4;3;4;4;5;4;5;4;4;4;4;5;4;3;5;5;5;5;5;5;4;5;5;4;5;3;4;5;5;4;4;4;5;4;6;6;6;6;6;1;5;5;5;2;;20;21;55
264;29.07.2018 19:43;4;2;2;5;5;5;2;1;1;1;2;5;5;5;1;5;3;3;4;4;4;4;4;4;3;4;4;4;3;4;3;3;3;3;3;3;3;3;4;4;4;4;5;3;5;3;5;5;5;5;5;4;3;4;4;4;3;5;1;5;5;5;5;3;2;2;2;;30;8;49
269;29.07.2018 19:51;4;1;1;4;3;4;1;2;3;2;3;5;4;3;3;4;3;4;4;4;3;4;4;4;3;4;4;5;5;5;4;4;4;5;5;4;5;5;4;5;4;5;4;5;5;5;4;5;5;5;5;4;4;1;2;4;2;3;3;3;4;4;3;3;3;3;2;;13;21;31
270;29.07.2018 19:51;5;2;2;5;5;4;1;1;2;2;1;5;5;4;2;5;1;5;4;4;4;4;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;2;4;3;5;2;5;5;5;4;3;3;3;2;;10;8;32
288;29.07.2018 20:30;3;4;4;2;3;2;4;3;2;3;4;1;1;4;4;2;5;4;2;1;2;1;2;1;1;3;1;2;3;2;3;2;2;2;2;3;4;2;3;2;2;3;4;3;2;1;3;2;2;3;4;1;2;5;5;1;2;4;2;2;5;5;4;2;3;3;2;10;0;21;35
311;29.07.2018 23:16;3;2;2;3;2;2;3;2;4;3;3;3;3;4;4;3;4;5;2;2;2;2;1;1;2;2;2;2;2;3;2;3;3;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;3;4;4;3;4;3;4;3;2;2;4;2;2;2;2;;3;8;27
316;29.07.2018 23:36;2;3;2;3;5;1;1;2;4;4;1;5;4;4;2;4;5;2;2;1;NA;1;3;4;1;4;5;4;2;5;3;3;3;3;5;3;4;4;3;4;4;4;4;NA;2;2;4;3;3;3;3;2;3;2;4;3;2;2;5;2;2;5;5;NA;2;3;2;6;4;8;26
317;29.07.2018 23:41;3;3;2;3;5;5;1;4;5;5;5;5;3;4;2;4;5;3;4;4;2;4;2;2;2;4;5;4;1;3;2;3;4;4;4;2;1;3;3;4;4;5;4;2;3;4;3;3;3;3;3;3;3;3;2;2;5;2;5;3;3;5;5;1;1;2;2;;1;8;23
342;30.07.2018 09:02;3;2;2;4;3;5;3;5;5;5;5;4;4;4;1;5;4;5;5;5;3;5;3;3;5;5;5;4;3;5;4;4;4;4;5;4;4;4;4;4;4;5;5;4;4;4;4;4;3;4;5;4;4;4;4;4;4;2;3;2;2;1;4;1;1;2;2;;28;8;47
350;30.07.2018 09:45;3;3;1;5;3;3;1;4;4;5;3;5;1;1;1;2;3;1;3;3;1;2;2;2;2;4;4;3;2;2;2;2;4;4;4;3;2;3;3;5;3;4;5;3;3;2;2;3;2;3;3;1;1;4;5;1;5;2;5;2;4;2;5;1;1;2;2;;7;8;25
369;30.07.2018 12:11;4;1;1;2;4;3;2;3;3;3;2;5;4;4;1;4;2;4;4;4;3;4;4;4;4;4;4;5;5;5;4;4;4;5;5;4;4;5;5;5;4;5;5;4;5;4;5;3;4;5;5;4;3;2;4;4;2;3;2;2;3;3;2;4;4;4;1;8;4;4;36
378;30.07.2018 12:47;5;1;1;5;5;4;3;1;3;2;1;5;4;5;1;5;1;5;2;3;4;4;5;5;1;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;3;6;1;6;6;6;5;1;1;1;2;0;4;5;24
389;30.07.2018 14:32;3;3;4;2;3;3;5;4;3;3;3;2;2;2;3;1;5;1;2;3;3;2;1;1;3;1;1;5;5;3;5;2;2;2;1;2;3;3;3;3;2;3;3;2;1;3;3;2;1;3;3;3;3;3;3;3;3;3;2;3;3;4;4;3;1;1;2;11;1;8;50
400;30.07.2018 17:51;4;1;1;1;4;4;2;4;4;4;3;5;3;2;2;4;1;3;4;4;2;4;2;2;3;3;4;3;1;3;3;2;2;2;3;3;2;2;3;3;4;3;4;2;2;2;3;3;2;3;3;3;3;2;4;3;3;3;3;3;3;3;2;2;NA;3;2;;38;21;57
407;30.07.2018 19:19;2;5;3;3;3;2;4;2;2;3;3;4;2;3;2;4;4;3;2;2;2;3;3;3;2;3;4;3;4;4;2;4;4;4;5;2;3;4;4;4;4;5;4;3;3;4;4;3;3;4;4;4;3;2;3;3;2;NA;1;3;2;3;5;2;2;2;2;;19;8;44
411;30.07.2018 21:48;5;1;3;5;5;5;1;1;3;3;1;5;5;3;1;5;1;5;4;4;4;4;4;4;5;5;5;4;4;4;4;4;4;4;4;5;5;5;4;4;4;5;5;5;5;5;4;5;4;3;3;5;5;2;1;5;1;5;1;5;5;6;3;3;3;4;2;;34;7;58
412;30.07.2018 22:00;4;1;2;3;5;5;1;3;4;4;4;2;1;1;4;3;4;1;3;4;4;2;3;4;5;4;5;5;4;4;3;3;4;5;5;2;3;2;4;3;3;5;5;2;3;3;3;4;2;5;4;4;4;2;2;5;1;3;4;6;6;3;NA;4;4;5;1;8;3;2;25
421;31.07.2018 07:04;2;4;3;1;2;2;5;3;3;4;4;2;1;2;5;3;5;2;2;2;3;2;1;2;1;1;4;4;3;3;3;3;4;4;4;2;2;3;3;3;3;4;4;3;3;3;2;2;2;2;2;2;1;4;3;1;5;3;3;5;4;4;4;4;2;3;1;;43;4;58
422;31.07.2018 07:12;1;5;2;1;1;2;3;4;5;3;5;3;1;4;1;1;5;5;4;4;3;4;1;1;5;1;3;3;2;3;3;3;3;2;5;2;2;3;3;2;3;5;4;1;3;2;2;2;2;2;2;3;3;2;3;3;5;3;1;4;2;2;5;4;2;2;1;;12;8;34
423;31.07.2018 08:27;4;2;1;4;4;2;1;2;3;4;2;5;3;4;2;4;2;4;3;2;3;2;2;3;3;3;4;4;3;3;3;4;5;4;5;2;3;3;4;4;4;5;2;3;3;3;4;3;2;3;2;2;4;4;4;3;4;5;3;5;5;6;3;2;4;5;2;;7;8;30
424;31.07.2018 08:34;4;3;1;4;3;5;4;2;2;2;1;4;3;5;2;4;3;4;2;1;4;2;3;4;2;4;4;4;4;4;3;4;4;5;4;3;4;5;5;5;4;5;5;4;4;5;5;4;5;5;5;5;4;1;2;4;2;4;2;4;5;5;3;4;3;3;2;10;11;21;52
425;31.07.2018 08:44;4;2;2;3;5;4;1;3;3;3;2;5;3;4;1;4;4;5;4;4;3;3;2;1;5;4;4;4;2;3;3;2;2;3;2;5;2;2;2;2;2;4;4;1;3;2;4;2;2;4;4;4;4;3;4;3;2;6;1;5;5;5;4;4;2;3;1;;3;21;30
426;31.07.2018 08:51;5;1;1;4;3;2;2;3;5;2;1;4;5;4;1;4;3;3;5;4;4;4;4;4;3;4;4;4;3;5;4;3;3;3;5;4;4;5;5;5;5;3;5;4;5;2;5;4;5;5;2;5;5;2;2;4;2;2;4;3;2;2;2;4;4;4;1;3;7;21;51
428;31.07.2018 09:31;5;1;1;5;3;4;1;3;2;4;2;3;3;3;1;4;2;4;4;4;5;4;3;4;4;4;4;4;4;5;3;4;4;4;5;4;5;3;4;4;3;4;4;3;4;4;4;3;4;4;4;5;3;3;3;5;1;4;1;3;5;4;2;4;3;2;1;3;1;21;25
429;31.07.2018 12:03;2;4;3;3;3;2;5;3;5;5;5;3;3;1;2;3;5;3;3;1;1;2;3;2;2;1;3;2;3;3;3;3;3;3;2;2;2;2;2;3;3;4;4;1;2;2;3;1;1;2;2;2;2;5;3;2;3;1;6;2;1;1;5;3;1;1;2;8;9;5;63
430;31.07.2018 12:31;5;1;1;5;5;2;5;1;2;2;1;5;5;4;1;5;1;5;5;5;4;5;5;5;5;5;5;5;3;5;4;4;4;4;3;5;5;5;5;5;5;5;4;3;3;2;5;3;3;4;4;4;4;4;4;5;2;4;4;5;5;5;3;4;4;4;2;5;2;5;21
432;31.07.2018 12:38;3;4;2;3;4;5;3;1;1;1;1;4;3;1;4;4;3;4;4;3;4;5;4;4;4;3;3;3;3;4;5;5;5;4;5;3;3;3;4;5;5;3;3;3;4;4;4;3;3;3;2;3;4;3;3;3;4;4;2;3;4;4;3;4;3;4;2;;1;21;34
