"M";"FOM";"U1";"U2";"U3";"U4";"U5";"U6";"U7";"K1";"K2";"K3";"K4";"K5";"K6";"K7";"L1";"L2";"L3";"L4";"L5";"L6";"G1";"G2";"G3";"G4";"G5";"G6";"P1";"P2";"P3";"P4";"P5";"P6";"M1";"M2";"M3";"M4";"M5";"M6";"M7";"M8";"M9";"M10";"M11";"M12";"M13";"M14";"M15";"M16";"M17";"M18";"M19";"M20";"M21";"M22";"M23";"M24";"M25";"M26";"H1";"H2";"H3";"H4";"H5";"H6";"H7";"H8";"H9";"H10";"H11";"H12";"H13";"H14";"H15";"H16";"H17";"H18";"H19";"H20";"H21";"H22";"H23";"H24";"H25";"H26";"F1";"F2";"F3";"F4";"F5";"F6";"F7";"N";"W1";"W2";"W3";"W4";"W5";"W6";"W7";"W8";"W9";"W001_10";"W001_11";"E1";"E2";"E3";"E4";"E5";"E6";"E7";"E8";"E9";"E10";"E11";"E12";"E13";"E14";"E15";"E16";"E17";"D1";"D2";"D3";"D4";"D5";"D6";"D7";"D8"
"551255";"Münster";7;9;9;9;9;5;6;4;7;7;6;10;7;5;6;5;7;8;8;7;50;250;400;80;200;50;9;6;5;6;7;7;9;9;9;9;7;8;6;5;4;5;5;10;6;5;4;9;6;10;10;8;5;7;7;8;8;8;0;10;2;6;1;1;3;3;3;8;8;7;0;9;9;7;10;8;6;5;8;9;8;7;7;7;9;0;6;0;0;0;0;3;4;5;6;7;5;6;6;6;4;4;5;3;3;3;3;5;5;3;3;5;7;2;3;4;5;7;7;7;47;1;3;1;2;3;"46325";1
"548121";"Münster";8;9;7;8;9;10;5;9;7;8;5;10;5;8;10;8;10;7;9;10;600;300;300;200;100;50;10;8;10;10;10;10;8;10;8;8;8;7;2;9;2;10;10;10;8;10;10;10;8;10;10;10;10;0;8;0;10;10;5;8;0;6;8;6;2;6;0;9;8;8;10;8;10;6;5;10;7;8;7;0;4;10;9;7;10;5;7;0;0;8;5;3;6;5;4;4;4;7;5;7;6;6;7;4;6;6;7;1;3;7;4;1;3;7;6;4;6;6;5;5;57;1;3;3;2;3;"48565";1
"550271";"Münster";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;8;5;8;7;8;150;500;300;200;300;150;3;5;5;5;5;8;7;8;7;7;7;7;7;9;8;8;8;7;7;7;7;7;8;8;8;NA;7;7;10;7;9;10;2;2;0;0;5;5;6;8;5;8;8;5;5;5;5;5;4;8;2;2;2;2;8;2;9;7;5;4;4;2;0;3;4;3;4;5;4;4;1;3;2;3;5;5;5;4;6;5;2;2;2;4;4;4;4;2;2;2;4;4;5;5;50;1;3;4;4;1;"58097";2
"547954";"Münster";9;8;8;7;8;6;7;6;7;6;7;5;6;5;5;5;5;6;5;6;400;300;400;50;60;40;7;4;5;6;6;4;6;6;6;6;5;6;6;7;6;5;6;4;6;5;6;6;4;4;6;8;9;7;6;8;6;7;5;7;5;5;6;6;5;6;5;6;5;5;6;5;6;5;7;6;5;6;7;6;7;6;5;5;6;5;7;5;6;5;5;3;7;6;7;6;4;6;5;6;5;5;5;6;6;7;5;6;5;6;6;6;6;5;6;7;7;6;5;6;85;1;5;5;1;4;"48432";NA
"547952";"Münster";9;7;9;8;8;9;8;9;7;7;7;10;6;7;5;7;5;5;5;6;300;100;720;150;100;50;8;3;4;5;7;8;10;10;6;10;8;8;2;10;4;8;8;8;8;8;9;8;8;8;10;7;8;8;8;10;8;10;5;5;0;5;2;7;9;8;2;3;3;8;8;8;9;2;8;7;9;8;8;8;6;9;4;8;7;2;2;0;0;3;1;3;6;6;4;4;2;6;4;7;5;4;5;6;6;4;4;4;4;4;2;2;3;5;4;2;5;4;4;5;32;1;3;2;2;1;"59065";1
"553301";"Münster";7;8;8;8;6;5;3;10;7;4;8;10;2;10;6;10;2;1;4;1;400;1000;1200;100;100;50;0;6;2;5;4;6;8;8;2;5;2;1;1;4;0;8;8;8;6;5;6;4;0;5;4;8;4;2;5;8;2;8;1;9;0;6;0;0;0;6;0;10;7;10;3;6;7;5;0;6;8;5;8;10;6;7;0;9;10;0;0;0;0;2;0;3;2;1;3;2;1;5;4;6;6;5;3;3;4;1;4;2;3;1;1;4;1;1;1;1;1;4;6;7;41;2;4;3;3;3;"45721";NA
"551605";"Münster";10;6;5;5;7;6;4;10;0;7;2;10;5;3;7;7;5;10;8;4;100;80;0;250;100;15;0;2;3;0;0;3;8;10;2;7;5;4;4;6;6;6;5;6;4;4;6;4;8;6;4;10;5;5;7;8;3;7;0;3;0;3;0;0;0;5;2;1;2;0;5;7;5;4;0;8;1;0;3;10;1;9;0;4;2;0;0;0;0;1;0;3;7;2;7;7;1;1;2;6;3;4;7;2;7;2;1;1;5;6;7;7;4;6;6;2;3;4;6;5;23;1;3;1;1;2;"48249";1
"549671";"Münster";10;6;7;7;3;4;2;1;5;9;7;10;0;10;4;8;2;6;1;3;20;150;250;200;100;100;3;6;4;5;2;0;8;10;3;10;3;0;6;3;0;10;10;6;6;2;10;3;4;8;9;9;8;2;8;10;6;7;10;10;0;10;0;0;5;4;0;10;7;6;10;10;4;6;3;10;1;10;7;0;9;10;10;10;9;0;4;0;0;0;0;3;4;3;1;1;1;2;4;7;4;6;7;7;7;5;2;4;5;7;3;5;1;4;7;5;2;5;7;7;26;2;3;3;2;1;"48151";1
"552753";"Münster";6;5;6;9;8;8;5;4;5;4;4;8;5;2;2;6;3;5;4;1;0;400;220;50;250;300;0;2;4;8;2;2;8;6;4;6;5;4;0;6;0;5;5;8;5;8;8;5;5;8;2;5;8;5;4;6;6;4;0;2;0;0;0;0;0;2;0;5;5;8;0;8;8;2;5;8;2;5;10;0;4;4;5;2;8;0;2;0;0;0;0;3;4;3;6;7;2;6;3;5;4;5;7;2;2;1;2;3;2;6;3;4;4;2;6;3;5;2;2;6;52;1;3;1;4;2;"48703";1
"542732";"Münster";10;10;10;10;10;10;9;8;7;9;10;10;7;10;8;10;8;8;6;6;150;120;700;40;70;10;7;9;8;6;6;10;10;10;10;10;8;8;8;10;8;8;7;8;6;8;10;10;9;9;8;10;10;8;10;8;10;10;2;5;0;3;7;4;1;8;0;6;8;8;7;8;8;7;3;5;4;8;8;4;8;8;10;10;10;0;2;0;0;0;0;3;4;4;2;2;4;7;3;6;6;7;4;2;2;2;2;2;5;5;1;1;1;1;1;1;1;6;2;2;54;2;3;1;1;2;"49477";1
"544775";"Münster";8;8;10;8;8;10;7;8;8;8;8;8;5;9;5;7;7;0;7;9;18;60;380;12;85;55;5;5;6;10;5;2;0;10;4;8;1;1;2;8;5;5;5;7;6;7;4;5;0;10;4;5;8;0;5;5;7;7;0;8;0;6;0;0;1;7;2;5;5;10;6;8;0;5;0;8;0;5;5;0;3;9;0;5;7;3;4;2;0;0;0;3;5;3;4;4;1;6;4;4;6;4;5;1;3;2;1;1;7;7;5;3;1;5;4;2;1;4;5;5;47;1;3;3;2;3;"48485";1
"548112";"Münster";10;10;10;8;8;8;8;4;4;4;5;4;4;4;10;10;10;10;8;6;200;250;100;100;50;100;10;10;8;8;6;8;8;10;4;6;8;8;6;4;0;10;10;8;8;8;6;6;6;10;10;6;10;6;8;10;6;4;8;10;4;10;8;8;6;4;0;10;10;8;8;8;6;6;6;10;10;6;10;4;8;10;6;4;7;0;4;0;0;2;0;3;4;4;6;6;2;4;2;6;5;6;7;3;1;1;1;1;1;6;1;2;2;6;5;4;2;2;6;6;38;1;3;3;2;2;"48565";1
"548660";"Münster";10;10;10;10;10;10;10;10;10;10;10;10;10;10;7;9;4;8;8;4;100;350;300;250;100;100;4;8;7;10;10;10;10;10;9;10;10;10;10;10;10;10;10;6;5;5;6;6;10;10;10;8;10;10;2;10;10;10;0;7;2;6;2;2;9;8;7;10;10;10;0;9;9;3;7;9;0;0;8;0;0;10;10;10;10;1;1;0;0;5;0;3;6;5;6;4;5;7;3;4;2;5;6;4;4;5;5;4;4;4;4;4;5;4;5;4;7;6;7;7;67;2;5;4;3;2;"32545";NA
"547954";"Münster";7;7;6;7;6;7;6;7;5;6;5;6;5;6;7;5;6;5;6;5;150;100;400;50;80;40;3;4;5;6;5;6;10;10;4;7;6;4;5;7;5;6;5;6;4;1;7;5;4;6;6;5;6;5;5;5;3;5;7;7;6;7;6;5;4;5;7;8;7;5;4;6;5;4;5;5;3;4;3;4;4;3;4;3;2;3;2;3;2;2;1;2;4;5;4;5;4;4;4;4;5;5;6;7;7;6;5;5;6;5;4;4;4;3;4;5;6;5;6;5;40;1;3;1;2;3;"48485";1
"549826";"Münster";10;10;10;8;7;10;8;10;7;10;10;10;6;10;7;10;8;7;8;8;40;500;180;100;100;30;5;6;5;8;5;NA;7;8;8;5;2;5;5;7;NA;10;7;5;10;5;8;8;10;10;6;10;8;6;5;10;9;8;2;5;0;0;0;10;2;5;NA;10;7;5;10;8;8;5;8;10;0;7;8;3;8;10;8;8;10;3;3;0;0;NA;0;3;5;3;1;1;1;7;2;7;5;5;6;5;7;4;2;4;5;4;1;1;4;1;4;1;1;3;2;3;77;2;5;1;NA;3;"48361";NA
"551067";"Münster";9;8;10;10;9;10;8;10;9;8;10;10;7;10;8;10;8;8;7;7;25;150;350;100;150;20;5;5;3;5;3;2;7;10;3;10;8;8;5;5;4;9;8;8;8;5;8;4;6;7;7;7;8;7;8;9;7;8;0;8;0;10;0;0;0;0;1;2;3;3;6;5;5;6;1;4;4;4;3;1;0;7;4;5;10;2;2;0;0;3;2;3;6;2;2;2;2;6;2;7;3;6;5;1;2;2;1;1;2;3;1;3;3;4;4;3;2;4;4;4;50;2;3;2;3;3;"33775";1
"549091";"Münster";10;10;9;8;10;10;8;10;10;8;10;10;7;10;10;10;8;7;6;10;200;300;70;85;300;10;5;10;7;8;6;10;7;10;9;9;9;8;7;8;8;9;10;7;8;8;8;9;10;10;8;10;8;9;10;7;8;9;5;10;10;10;9;6;6;9;8;6;7;7;8;9;8;10;6;8;7;6;7;9;8;5;7;6;10;5;10;2;0;7;8;1;5;5;3;3;1;3;6;2;5;6;6;1;3;2;1;2;5;1;1;1;4;2;3;3;NA;2;3;1;28;2;3;4;3;4;"59320";1
"534352";"Münster";7;5;7;8;7;8;5;7;4;4;3;8;3;5;0;7;3;0;8;6;40;20;0;2;800;100;0;0;4;5;0;0;7;8;2;7;5;5;5;3;6;7;7;4;3;3;3;3;4;10;7;8;4;3;4;4;8;4;8;3;0;0;0;1;0;0;0;0;0;0;0;6;0;0;6;2;3;1;10;2;0;1;0;9;10;0;0;0;0;4;0;3;7;7;6;7;7;6;5;5;6;5;6;1;5;6;5;2;1;7;4;3;1;2;2;1;1;6;3;6;17;1;1;5;1;4;"48720";1
"543073";"Münster";4;6;9;3;2;1;5;10;9;9;10;10;9;9;5;8;7;9;3;4;300;400;900;50;200;0;0;4;5;10;5;10;9;9;7;9;7;5;6;5;5;8;8;7;7;7;8;9;8;8;8;9;9;9;9;9;9;9;0;3;0;0;8;8;7;10;2;8;8;8;2;9;7;8;9;9;9;9;9;9;9;9;9;9;8;7;5;0;0;8;0;3;4;1;1;2;1;2;2;4;5;5;5;1;1;4;1;1;3;4;1;2;2;2;2;2;2;3;2;5;34;1;3;1;3;2;"58730";1
"549826";"Münster";8;5;9;10;5;7;6;6;5;5;7;10;6;9;4;6;7;7;5;6;0;10;0;0;0;20;7;6;6;6;5;5;9;9;7;8;5;1;5;4;3;5;9;6;6;6;10;5;5;5;4;6;5;5;5;10;10;7;9;8;4;4;4;2;4;4;1;5;5;5;4;6;6;5;3;3;1;5;2;3;3;10;6;4;5;0;3;3;0;0;0;3;5;6;2;5;2;7;4;5;7;4;5;5;4;4;4;7;4;5;5;3;5;4;5;1;1;3;3;3;13;1;1;NA;NA;3;"48361";NA
"551605";"Münster";6;6;10;10;8;8;6;9;1;8;7;10;1;10;2;5;0;5;5;6;150;200;700;100;150;50;3;5;5;6;0;10;6;10;5;10;5;5;2;7;1;10;7;6;5;4;10;10;10;8;6;8;9;4;5;3;5;8;0;5;0;3;1;2;0;10;0;10;0;0;7;8;3;4;4;8;2;0;5;0;0;8;0;6;10;0;0;0;0;0;0;3;6;5;1;4;1;3;1;4;7;3;5;3;7;7;1;1;1;3;1;5;1;4;6;1;4;3;1;2;28;2;3;3;2;2;"48249";1
"549823";"Münster";10;10;10;9;10;10;8;9;10;9;8;10;8;8;9;9;6;5;8;3;100;250;800;50;100;10;9;9;6;9;9;10;10;10;1;10;6;6;5;8;3;10;10;9;9;9;9;8;8;9;7;10;10;7;9;10;9;9;6;10;0;8;6;6;4;9;0;10;10;10;10;10;10;7;7;8;5;10;8;5;9;10;9;9;10;7;6;0;0;2;0;3;6;3;2;2;6;7;4;7;6;6;7;2;4;6;4;4;7;7;1;1;1;2;1;1;4;4;5;6;67;2;5;1;1;3;"48341";NA
"551067";"Münster";6;10;10;10;10;10;10;10;10;10;10;10;10;10;5;10;5;3;3;5;100;250;250;50;20;0;6;0;5;10;10;5;7;7;10;7;5;0;5;0;0;10;10;10;10;10;10;10;10;10;10;3;10;10;3;10;10;10;0;2;0;0;0;0;0;10;10;10;10;10;10;10;10;10;7;10;10;5;10;10;9;10;10;10;10;2;2;0;0;5;0;3;7;3;4;2;1;3;1;4;5;7;7;1;2;3;5;4;4;5;2;1;2;1;2;2;3;4;1;7;60;2;3;2;1;2;"33775";1
"547163";"Münster";5;5;5;5;5;6;5;9;9;8;8;9;9;9;5;5;5;5;5;5;100;200;500;50;50;60;10;10;10;10;10;10;10;10;10;10;10;10;5;5;7;7;7;8;8;8;8;9;5;5;5;7;6;5;6;9;5;5;8;8;5;6;7;8;8;8;8;7;7;9;4;4;4;5;5;6;0;7;7;8;8;5;5;7;7;5;6;5;6;6;6;3;5;5;6;5;5;6;6;7;5;6;6;5;5;5;6;6;6;7;4;5;5;4;5;5;5;4;5;7;67;1;3;3;2;2;"45770";2
"548112";"Münster";6;7;8;8;7;7;5;8;7;7;7;10;4;8;6;8;6;7;5;7;500;300;500;250;150;200;4;5;4;4;3;5;3;5;8;7;7;7;6;8;5;7;6;7;7;8;8;6;7;8;8;8;10;8;9;8;6;7;0;2;5;4;5;5;3;7;4;3;3;5;5;4;3;1;3;5;3;3;5;3;6;8;3;2;3;2;1;0;0;2;0;3;6;3;2;2;1;4;4;4;5;5;5;2;5;5;2;2;2;4;3;4;3;4;4;2;4;3;2;2;27;1;3;1;2;4;"59387";1
"545845";"Münster";8;9;7;8;8;9;8;9;9;8;9;8;9;9;4;10;8;8;4;8;200;150;800;200;250;50;4;8;5;10;4;9;8;7;8;8;9;8;6;7;8;7;7;8;7;6;8;8;8;9;6;8;8;7;9;7;7;7;5;4;2;2;1;1;2;1;2;6;7;3;2;4;2;2;3;8;2;5;5;2;5;6;5;5;8;4;4;3;2;2;2;3;6;4;4;4;1;5;5;5;6;6;5;2;2;2;2;2;3;6;3;3;4;2;1;1;3;6;7;7;60;1;5;3;2;2;"48231";NA
"548998";"Münster";9;5;8;8;6;6;5;0;0;3;0;5;0;0;9;9;9;6;8;5;30;200;500;100;20;50;5;2;8;6;5;0;8;9;3;8;0;6;0;0;0;6;6;8;6;0;0;0;6;9;0;9;0;0;5;6;2;3;9;9;0;9;0;0;0;9;0;0;0;0;9;0;0;0;0;5;0;9;9;0;5;5;0;0;9;5;0;0;0;0;2;3;3;2;2;6;4;5;6;7;4;7;7;3;4;3;2;2;1;6;2;2;2;1;6;2;2;2;3;6;38;1;3;1;2;1;"48165";1
"547163";"Münster";10;10;10;10;10;10;10;10;10;10;10;10;10;10;5;10;5;10;10;5;80;200;600;200;350;20;5;5;5;5;5;5;10;10;10;10;5;5;5;0;0;10;10;5;5;5;5;5;10;5;5;10;10;5;10;10;10;10;0;10;6;10;0;5;0;5;0;5;5;5;5;5;5;5;5;5;0;5;10;0;5;10;10;10;5;0;0;0;0;0;0;3;5;3;1;1;1;2;1;7;5;5;5;4;7;7;4;1;4;5;4;4;1;1;3;1;6;1;4;6;52;2;5;1;3;3;"49610";3
"551255";"Münster";8;7;10;8;7;8;6;8;5;5;5;5;10;8;7;9;6;7;4;8;20;0;50;80;50;40;6;7;5;5;2;7;8;8;5;5;0;0;0;0;8;7;8;8;5;7;6;6;8;7;8;8;0;7;7;7;5;6;8;6;0;5;0;0;0;0;0;6;4;8;2;3;5;2;2;6;0;6;7;0;4;3;5;5;8;0;0;0;0;2;2;3;7;7;4;6;2;7;4;4;3;3;6;3;5;5;7;6;6;5;5;3;4;3;3;3;7;5;4;3;24;1;2;3;1;3;"46325";NA
"549091";"Münster";10;7;8;5;8;6;5;4;6;0;4;7;1;6;0;9;7;6;7;3;250;200;200;80;350;30;5;7;8;6;3;7;7;6;3;3;7;6;7;4;2;9;6;7;5;3;9;7;8;7;6;8;7;7;8;10;6;5;1;6;2;3;8;9;4;5;1;1;1;7;5;6;6;2;2;8;1;7;3;1;5;8;0;7;5;6;7;1;1;7;2;1;5;2;2;2;1;5;1;3;4;5;4;1;4;2;1;1;1;3;2;1;1;1;1;4;3;4;4;6;30;2;7;1;2;1;"48143";1
"551255";"Münster";8;8;8;7;8;8;7;6;8;8;8;7;8;6;4;7;7;8;8;8;100;250;150;150;100;50;6;5;6;6;7;5;7;7;7;6;8;8;8;8;0;9;9;0;0;5;5;8;9;9;6;9;10;0;7;7;7;7;0;8;0;0;2;2;2;7;0;10;10;0;0;0;8;9;9;9;0;0;8;0;3;7;7;6;6;5;3;4;0;0;0;3;6;2;2;2;7;2;7;3;4;6;7;4;3;4;4;3;5;5;6;4;3;2;3;2;1;2;2;2;79;2;5;1;2;4;"46325";NA
"547163";"Münster";10;10;10;10;6;5;5;10;10;10;10;10;10;10;2;2;3;0;6;0;120;150;520;100;50;10;8;1;5;8;5;6;10;10;8;10;10;8;5;0;2;10;10;10;10;9;10;4;10;10;10;10;8;10;10;10;10;10;2;3;1;2;0;5;0;0;2;10;10;5;8;5;2;10;2;7;2;1;4;1;3;6;9;7;9;0;1;0;1;0;0;3;7;4;6;5;2;7;3;7;6;5;5;6;4;7;5;3;5;6;5;3;4;7;6;7;7;7;2;5;34;2;3;1;1;2;"49134";1
"534352";"Münster";6;8;7;8;8;10;5;4;9;5;7;9;5;10;6;9;6;7;5;8;50;300;1200;100;20;0;5;7;5;5;8;8;8;10;8;9;7;7;3;10;7;10;10;10;10;10;10;8;7;8;8;8;8;8;8;6;8;10;6;10;4;4;1;5;1;10;1;8;8;5;5;5;5;5;5;8;10;9;9;2;6;10;10;9;9;2;2;1;0;1;0;3;4;2;2;2;3;4;3;6;6;5;4;3;4;5;5;6;6;6;4;2;4;2;5;2;2;6;6;6;49;2;3;1;1;2;"48653";1
"548112";"Münster";10;10;10;10;10;9;9;10;10;8;9;10;8;10;8;10;5;10;8;8;80;400;100;100;200;100;8;10;5;8;8;10;10;10;10;10;5;5;5;10;10;10;10;10;10;8;10;8;10;10;5;8;10;5;10;10;10;8;8;10;5;6;5;5;5;8;5;5;8;6;6;6;8;5;10;10;5;8;10;5;10;10;10;8;8;6;6;5;5;5;5;3;4;2;1;3;4;7;4;6;6;6;6;6;6;6;2;2;3;6;5;4;4;4;4;4;4;6;3;4;63;1;3;3;4;1;"48155";1
"534352";"Münster";10;10;10;10;10;10;10;8;7;9;8;10;8;9;8;10;8;7;6;8;400;400;200;50;30;150;6;8;7;10;7;6;10;10;10;10;10;9;9;5;10;0;10;7;10;10;10;10;10;10;9;10;10;10;10;10;10;10;0;6;0;7;6;5;0;10;0;10;8;7;2;8;5;8;8;9;1;7;8;0;5;10;10;7;10;7;5;6;2;1;8;3;4;5;7;7;1;3;1;1;7;7;7;1;1;5;5;1;1;5;5;3;2;5;1;6;3;3;4;7;61;1;3;4;3;3;"48301";3
"551299";"Münster";6;7;6;8;5;6;7;6;7;5;6;8;8;7;5;4;5;3;4;5;100;120;450;150;50;100;4;5;6;5;7;3;5;5;7;4;5;7;6;5;7;6;4;8;6;5;6;6;4;5;6;7;6;6;7;8;7;6;5;6;7;6;3;3;3;4;6;7;8;7;6;7;8;7;5;6;5;6;5;6;5;6;5;7;7;2;2;2;2;3;4;3;4;5;6;5;6;6;7;5;4;5;4;4;5;6;6;6;5;7;5;4;3;4;5;4;5;6;5;5;38;2;3;2;1;3;"46359";2
"542732";"Münster";10;7;10;10;10;8;7;10;5;9;5;9;1;8;3;8;5;8;2;7;25;40;0;50;25;20;6;6;3;7;3;7;8;8;7;7;7;5;5;6;8;5;6;8;8;8;8;8;7;5;6;8;4;4;6;8;7;6;8;8;1;8;7;7;7;3;8;5;8;7;3;9;8;4;3;7;7;2;7;6;6;6;5;5;10;1;2;3;1;4;2;3;5;5;5;4;1;4;4;4;2;5;3;6;6;6;4;4;5;5;3;3;6;6;6;4;5;4;5;7;17;2;1;5;2;2;"48429";NA
"553803";"Münster";8;8;8;6;8;10;8;10;10;10;10;10;8;10;7;7;7;7;7;7;NA;1000;NA;200;150;NA;5;5;0;5;0;0;8;10;5;8;8;5;0;8;0;10;10;8;8;8;8;6;9;9;8;10;8;8;10;10;10;10;0;10;0;5;7;7;0;8;0;9;7;4;10;4;8;NA;5;6;8;10;9;0;4;9;9;9;10;7;7;0;0;2;0;1;3;2;7;5;3;4;3;7;4;6;6;2;2;3;2;5;1;6;3;1;1;1;2;1;3;5;4;6;52;2;3;3;3;2;"59494";2
"546881";"Münster";7;6;7;7;6;6;6;5;6;7;6;8;5;6;5;5;5;6;4;6;180;250;200;100;100;80;4;7;7;8;6;7;7;8;5;9;8;8;7;8;2;8;8;7;7;8;8;6;5;7;7;8;8;7;5;7;6;5;3;4;0;4;5;5;4;6;0;7;7;8;8;9;9;6;4;8;10;9;10;4;5;8;4;4;9;0;0;0;0;2;0;3;5;4;3;3;3;6;4;7;5;3;4;2;4;1;2;1;1;4;1;1;1;1;1;1;1;6;3;5;50;1;3;3;3;1;"48155";2
"549823";"Münster";8;7;8;5;7;4;3;5;5;4;4;6;4;4;5;8;4;5;7;7;200;200;600;100;30;50;9;7;7;7;6;6;8;10;5;10;2;2;2;4;3;9;9;8;8;9;9;8;9;10;6;8;8;5;8;10;6;8;0;9;0;8;2;2;2;5;0;6;6;9;5;6;6;6;2;8;2;8;8;2;7;8;9;7;8;0;0;0;4;0;0;3;7;1;1;1;1;7;6;7;5;3;7;5;5;7;3;1;6;7;1;1;4;5;7;1;2;4;1;7;26;1;3;1;2;2;"48143";1
"544775";"Münster";8;8;9;5;7;8;5;9;6;6;5;8;5;7;7;6;5;5;4;2;50;200;800;70;300;30;4;0;4;10;3;9;7;10;6;7;5;6;4;8;3;8;5;5;6;5;6;7;7;7;5;8;5;1;6;9;8;8;1;6;0;5;0;0;0;4;0;5;2;3;3;3;3;2;0;1;7;8;7;0;4;9;8;5;9;0;0;0;0;1;0;3;7;5;1;1;2;4;4;5;2;5;5;1;3;1;1;2;4;3;4;5;2;2;4;2;4;5;6;4;70;2;5;1;1;3;"48485";NA
"543073";"Münster";0;5;0;5;10;10;4;0;0;0;0;6;5;10;0;0;0;0;0;0;140;250;430;50;120;34;6;8;6;8;10;5;8;8;8;8;10;5;0;2;0;10;10;8;0;10;10;3;8;7;4;10;0;0;4;10;10;9;0;2;0;0;10;0;0;0;0;10;10;10;0;10;10;0;4;7;0;10;0;0;4;10;10;3;0;3;3;0;0;0;0;3;2;1;1;1;2;4;1;7;7;5;7;7;5;3;1;1;1;6;1;1;1;2;1;1;1;7;5;5;45;1;3;1;2;4;"48308";1
"545908";"Münster";8;8;8;8;8;8;8;0;0;0;0;10;0;10;10;2;2;2;2;3;500;150;150;150;200;100;0;6;7;1;0;2;10;10;0;10;6;3;8;3;0;10;10;6;6;10;10;10;6;10;10;10;10;0;10;10;10;10;0;0;0;0;0;10;2;10;0;10;10;10;10;10;6;10;6;10;10;0;10;0;4;10;7;7;7;0;0;0;0;0;0;3;7;7;6;7;1;5;2;4;2;4;7;1;2;3;4;6;1;5;7;4;6;4;2;1;7;7;7;7;80;2;5;1;1;1;"48161";NA
"549303";"Münster";7;7;8;7;6;6;4;0;0;0;0;8;0;0;4;8;3;3;5;5;450;0;0;20;40;40;0;2;6;7;7;5;7;7;4;4;3;3;1;0;2;6;4;6;6;7;8;5;7;8;7;8;5;5;7;10;10;10;0;0;0;0;0;10;0;2;0;6;5;5;6;4;8;0;5;8;7;3;8;0;5;10;10;10;5;0;0;0;0;0;0;3;5;3;5;4;1;7;3;3;2;2;4;1;2;3;2;2;2;6;2;2;1;6;3;1;4;3;5;7;20;1;3;1;1;2;"46284";1
"549826";"Münster";7;8;9;8;5;8;5;7;6;7;6;8;6;8;6;7;8;5;4;4;180;50;0;70;150;30;5;6;7;7;5;6;7;8;6;8;5;4;4;4;3;7;6;7;7;6;8;7;7;8;5;9;5;6;7;9;9;8;3;2;2;1;2;1;3;5;4;7;6;5;4;6;7;4;5;6;4;6;6;4;5;7;6;6;8;5;4;0;0;6;2;3;7;6;3;2;4;7;5;6;5;5;6;4;6;4;4;5;3;5;5;3;5;4;4;2;4;5;5;5;20;1;3;1;1;3;"48361";1
